TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
,10,89,87,88
2026-05-07T00:00:38Z,99,3,7,16
2026-05-07T00:02:38Z,99,3,8,9
2026-05-07T00:04:38Z,99,4,9,13
2026-05-07T00:06:38Z,99,4,9,11
2026-05-07T00:08:38Z,99,4,8,11
2026-05-07T00:10:38Z,99,5,9,11
2026-05-07T00:12:38Z,99,4,9,9
2026-05-07T00:14:38Z,99,3,7,8
2026-05-07T00:16:38Z,99,4,7,8
2026-05-07T00:18:38Z,99,9,15,16
2026-05-07T00:20:38Z,99,7,15,17
2026-05-07T00:22:38Z,99,3,7,9
2026-05-07T00:24:38Z,99,4,8,9
2026-05-07T00:26:38Z,99,4,9,11
2026-05-07T00:28:38Z,99,5,9,10
2026-05-07T00:30:38Z,99,4,10,19
2026-05-07T00:32:38Z,99,6,9,9
2026-05-07T00:34:38Z,99,4,9,10
2026-05-07T00:36:38Z,99,5,9,12
2026-05-07T00:38:38Z,99,4,8,9
2026-05-07T00:40:38Z,98,6,12,12
2026-05-07T00:42:38Z,98,5,8,12
2026-05-07T00:44:38Z,99,3,9,11
2026-05-07T00:46:38Z,99,4,8,9
2026-05-07T00:48:38Z,98,5,11,12
2026-05-07T00:50:38Z,98,4,10,19
2026-05-07T00:52:38Z,99,6,11,15
2026-05-07T00:54:38Z,98,4,9,11
2026-05-07T00:56:38Z,98,4,11,14
2026-05-07T00:58:38Z,98,5,12,15
2026-05-07T01:00:38Z,98,5,8,18
2026-05-07T01:02:38Z,98,6,9,11
2026-05-07T01:04:38Z,98,3,8,9
2026-05-07T01:06:38Z,98,4,8,11
2026-05-07T01:08:38Z,98,5,9,11
2026-05-07T01:10:38Z,98,5,9,11
2026-05-07T01:12:38Z,98,4,10,12
2026-05-07T01:14:38Z,98,4,9,9
2026-05-07T01:16:38Z,98,4,11,13
2026-05-07T01:18:38Z,98,3,8,12
2026-05-07T01:20:38Z,98,5,10,12
2026-05-07T01:22:38Z,98,5,9,9
2026-05-07T01:24:38Z,98,6,11,19
2026-05-07T01:26:38Z,98,7,11,14
2026-05-07T01:28:38Z,98,5,9,10
2026-05-07T01:30:38Z,98,5,8,14
2026-05-07T01:32:38Z,98,5,11,12
2026-05-07T01:34:38Z,98,6,12,21
2026-05-07T01:36:38Z,98,7,9,10
2026-05-07T01:38:38Z,98,4,11,15
2026-05-07T01:40:38Z,98,4,12,15
2026-05-07T01:42:38Z,98,5,11,21
2026-05-07T01:44:38Z,98,5,11,11
2026-05-07T01:46:38Z,98,4,9,12
2026-05-07T01:48:38Z,98,4,10,11
