TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
,10,89,87,88
2026-05-08T00:00:54Z,86,11,18,28
2026-05-08T00:02:54Z,86,12,17,22
2026-05-08T00:04:54Z,85,12,22,32
2026-05-08T00:06:54Z,85,10,20,23
2026-05-08T00:08:54Z,85,11,21,25
2026-05-08T00:10:54Z,85,12,19,21
2026-05-08T00:12:54Z,85,13,21,24
2026-05-08T00:14:54Z,85,13,23,26
2026-05-08T00:16:54Z,85,15,22,23
2026-05-08T00:18:54Z,85,13,22,25
2026-05-08T00:20:54Z,85,11,18,20
2026-05-08T00:22:54Z,85,12,19,20
2026-05-08T00:24:54Z,85,10,18,19
2026-05-08T00:26:54Z,85,12,19,23
2026-05-08T00:28:54Z,85,11,19,24
2026-05-08T00:30:54Z,85,13,20,25
2026-05-08T00:32:54Z,85,13,18,22
2026-05-08T00:34:54Z,85,11,16,27
2026-05-08T00:36:54Z,85,11,18,21
2026-05-08T00:38:54Z,85,11,22,24
2026-05-08T00:40:54Z,85,14,22,25
2026-05-08T00:42:54Z,85,10,17,18
2026-05-08T00:44:54Z,85,14,21,22
2026-05-08T00:46:54Z,85,12,18,20
2026-05-08T00:48:54Z,85,12,20,23
2026-05-08T00:50:54Z,85,10,20,22
2026-05-08T00:52:54Z,85,12,20,22
2026-05-08T00:54:54Z,85,12,21,23
2026-05-08T00:56:54Z,85,10,18,21
2026-05-08T00:58:54Z,85,13,17,24
2026-05-08T01:00:54Z,85,9,14,16
2026-05-08T01:02:54Z,85,10,19,28
2026-05-08T01:04:54Z,85,8,17,25
2026-05-08T01:06:54Z,85,11,17,18
2026-05-08T01:08:54Z,85,11,18,21
2026-05-08T01:10:54Z,85,12,17,19
2026-05-08T01:12:54Z,85,11,20,25
2026-05-08T01:14:54Z,85,12,19,25
2026-05-08T01:16:54Z,85,13,18,21
2026-05-08T01:18:54Z,85,12,18,20
2026-05-08T01:20:54Z,85,14,22,26
2026-05-08T01:22:54Z,85,12,16,19
2026-05-08T01:24:54Z,85,12,16,20
2026-05-08T01:26:54Z,85,10,18,22
2026-05-08T01:28:54Z,85,11,18,30
2026-05-08T01:30:54Z,85,14,20,25
2026-05-08T01:32:54Z,85,12,22,24
2026-05-08T01:34:54Z,85,12,20,22
2026-05-08T01:36:54Z,84,11,18,22
2026-05-08T01:38:54Z,85,12,18,22
2026-05-08T01:40:54Z,85,11,19,23
2026-05-08T01:42:54Z,85,10,21,23
2026-05-08T01:44:54Z,85,11,20,26
2026-05-08T01:46:54Z,85,11,18,20
2026-05-08T01:48:54Z,84,10,17,20
