TIME,BATT,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,%,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Battery,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,10,89,87,88,0,0,0,0,0,0
2026-05-21T00:00:01Z,96,5,11,12,622,419,92,0,0,0
2026-05-21T00:02:01Z,96,5,14,25,620,454,134,2,0,0
2026-05-21T00:04:01Z,96,5,9,13,616,392,63,0,0,0
2026-05-21T00:06:01Z,96,6,10,14,550,366,70,0,0,0
2026-05-21T00:08:01Z,96,5,10,12,547,327,96,0,0,0
2026-05-21T00:10:01Z,96,6,11,15,605,462,60,0,0,0
2026-05-21T00:12:01Z,96,4,7,9,470,339,50,0,0,0
2026-05-21T00:14:01Z,96,5,10,11,605,406,68,0,0,0
2026-05-21T00:16:01Z,96,4,11,21,589,432,101,1,0,0
2026-05-21T00:18:01Z,96,4,10,11,603,384,84,0,0,0
2026-05-21T00:20:01Z,96,5,9,13,498,359,66,0,0,0
2026-05-21T00:22:01Z,96,5,12,15,620,419,92,0,0,0
2026-05-21T00:24:01Z,96,3,9,12,515,358,57,0,0,0
2026-05-21T00:26:01Z,96,5,10,13,527,335,83,0,0,0
2026-05-21T00:28:01Z,96,4,11,21,595,421,93,0,0,0
2026-05-21T00:30:01Z,96,4,11,15,656,405,87,0,0,0
2026-05-21T00:32:01Z,96,2,9,10,521,300,52,0,0,0
2026-05-21T00:34:01Z,96,7,13,16,762,562,77,0,0,0
2026-05-21T00:36:01Z,96,6,14,17,579,430,94,0,0,0
2026-05-21T00:38:01Z,96,7,16,17,799,519,94,0,0,0
2026-05-21T00:40:01Z,96,6,9,12,613,396,73,0,0,0
2026-05-21T00:42:01Z,96,5,8,10,513,371,57,0,0,0
2026-05-21T00:44:01Z,96,3,8,9,482,329,55,0,0,0
2026-05-21T00:46:01Z,96,3,9,10,511,370,36,0,0,0
2026-05-21T00:48:01Z,96,5,8,15,506,369,64,0,0,0
2026-05-21T00:50:01Z,96,6,16,18,662,449,82,0,0,0
2026-05-21T00:52:01Z,96,6,16,28,613,428,101,14,0,0
2026-05-21T00:54:01Z,96,4,9,15,534,353,74,0,0,0
2026-05-21T00:56:01Z,96,5,9,12,559,381,67,0,0,0
2026-05-21T00:58:01Z,96,5,12,16,590,448,78,0,0,0
2026-05-21T01:00:01Z,96,5,10,15,587,396,93,0,0,0
2026-05-21T01:02:01Z,96,14,21,24,1085,765,121,4,0,0
2026-05-21T01:04:01Z,96,7,13,16,758,537,83,0,0,0
2026-05-21T01:06:01Z,96,4,8,11,557,368,49,0,0,0
2026-05-21T01:08:01Z,96,4,7,17,532,363,59,0,0,0
2026-05-21T01:10:01Z,96,4,12,15,651,404,101,0,0,0
2026-05-21T01:12:01Z,96,5,9,11,565,375,72,0,0,0
2026-05-21T01:14:01Z,95,4,9,12,634,417,61,0,0,0
2026-05-21T01:16:01Z,95,4,10,12,559,379,80,0,0,0
2026-05-21T01:18:01Z,96,4,10,13,542,378,79,0,0,0
2026-05-21T01:20:01Z,95,4,9,10,573,364,54,0,0,0
2026-05-21T01:22:01Z,95,4,11,13,517,368,63,1,0,0
