recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T00:01:14Z,80,5,12,13,605,440,103,0,0,0
2026-05-22T00:03:14Z,80,2,6,8,503,273,46,0,0,0
2026-05-22T00:05:14Z,80,4,9,21,579,419,75,3,0,0
2026-05-22T00:07:14Z,80,3,10,12,478,311,61,4,0,0
2026-05-22T00:09:14Z,80,6,12,13,694,428,75,0,0,0
2026-05-22T00:11:14Z,80,1,6,7,457,298,39,0,0,0
2026-05-22T00:13:14Z,80,5,10,13,612,400,81,0,0,0
2026-05-22T00:15:14Z,80,3,14,15,502,345,88,0,0,0
2026-05-22T00:17:14Z,80,4,6,9,530,357,36,0,0,0
2026-05-22T00:19:14Z,80,4,6,7,579,357,42,0,0,0
2026-05-22T00:21:14Z,80,13,23,25,1049,783,114,0,0,0
2026-05-22T00:23:14Z,80,6,15,16,714,519,76,0,0,0
2026-05-22T00:25:14Z,80,5,12,13,682,428,98,1,0,0
2026-05-22T00:27:14Z,80,6,13,22,723,559,83,0,0,0
2026-05-22T00:29:14Z,80,5,13,17,610,421,102,0,0,0
2026-05-22T00:31:14Z,80,5,12,16,538,416,92,0,0,0
2026-05-22T00:33:14Z,80,3,10,13,469,330,66,0,0,0
2026-05-22T00:35:14Z,80,5,8,18,557,402,70,0,0,0
2026-05-22T00:37:14Z,80,3,9,12,500,385,60,0,0,0
2026-05-22T00:39:14Z,80,4,9,12,530,377,78,0,0,0
2026-05-22T00:41:14Z,80,5,9,12,557,403,81,0,0,0
2026-05-22T00:43:14Z,80,4,9,11,525,424,59,0,0,0
2026-05-22T00:45:14Z,80,3,8,10,478,315,53,0,0,0
2026-05-22T00:47:14Z,80,4,9,9,570,401,65,0,0,0
2026-05-22T00:49:14Z,80,4,10,11,569,375,56,0,0,0
2026-05-22T00:51:14Z,80,4,13,15,587,388,89,0,0,0
2026-05-22T00:53:14Z,80,3,7,11,479,339,54,0,0,0
2026-05-22T00:55:14Z,80,2,8,20,491,301,72,1,0,0
2026-05-22T00:57:14Z,79,3,8,10,534,302,53,0,0,0
2026-05-22T00:59:14Z,79,4,9,13,513,360,56,0,0,0
2026-05-22T01:01:14Z,79,2,6,7,529,305,54,0,0,0
2026-05-22T01:03:14Z,79,1,6,16,447,290,72,0,0,0
2026-05-22T01:05:14Z,79,6,13,15,624,443,76,0,0,0
2026-05-22T01:07:14Z,79,4,10,19,563,401,94,0,0,0
2026-05-22T01:09:14Z,79,4,14,17,618,439,50,0,0,0
2026-05-22T01:11:14Z,79,3,8,9,537,362,59,0,0,0
2026-05-22T01:13:14Z,79,4,9,11,629,409,62,0,0,0
2026-05-22T01:15:14Z,79,4,9,12,537,375,75,0,0,0
2026-05-22T01:17:14Z,79,3,9,12,531,330,82,0,0,0
2026-05-22T01:19:14Z,79,6,9,10,577,405,74,0,0,0
2026-05-22T01:21:14Z,79,3,8,9,466,326,60,1,0,0
2026-05-22T01:23:14Z,79,4,8,10,513,341,69,0,0,0
2026-05-22T01:25:14Z,79,3,8,9,444,276,54,0,0,0
2026-05-22T01:27:14Z,79,3,10,10,475,323,89,0,0,0
2026-05-22T01:29:14Z,79,9,12,14,761,534,74,0,0,0
2026-05-22T01:31:14Z,79,4,8,11,549,346,62,0,0,0
2026-05-22T01:33:14Z,79,5,11,14,565,385,64,0,0,0
2026-05-22T01:35:14Z,79,2,6,9,480,284,63,0,0,0
2026-05-22T01:37:14Z,79,5,15,27,813,574,79,9,0,0
2026-05-22T01:39:14Z,79,4,13,15,522,363,84,0,0,0
2026-05-22T01:41:14Z,79,3,9,11,507,318,74,0,0,0
2026-05-22T01:43:14Z,79,2,7,8,441,306,67,0,0,0
2026-05-22T01:45:14Z,79,3,9,10,457,290,66,0,0,0
2026-05-22T01:47:14Z,79,3,7,11,582,332,67,0,0,0
2026-05-22T01:49:14Z,79,3,8,11,477,337,72,0,0,0
2026-05-22T01:51:14Z,79,3,8,12,493,351,57,0,0,0
2026-05-22T01:53:14Z,79,3,11,14,550,391,62,0,0,0
2026-05-22T01:55:14Z,79,3,7,7,492,298,73,0,0,0
